Administrative region;Cultivation;Yield [tFM ha^-1], M;Yield [tFM ha^-1], SD;Yield [tFM ha^-1], Min;Yield [tFM ha^-1], Max;Distribution;Source
Swabia;Flowering mixture, year 2;5.85;0.59;3.88;8.04;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Swabia;Fodder peas;3.57;0.36;2.13;4.95;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Legume mixture;2.5;0.25;1.55;3.49;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Legume whole crop silage;8.44;1.09;4.26;12.5;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Lupins;2.73;0.49;0.91;4.41;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Maize grain;10.19;1.05;6.43;14.28;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Maize silage;48.69;4.34;33.86;64.31;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Oats;5.57;0.76;2.7;8.8;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Pastures, mowed pastures, alpine pastures;6.91;0.56;4.71;9.05;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Permanent grassland;8.36;1.05;4.55;12.39;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Potatoes;42.45;5.16;18.57;60.91;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Quinoa;3;0.3;1.89;4.37;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Quinoa whole crop silage;17.97;1.8;9.94;25.43;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Rapeseed whole crop silage;34.98;3.47;21.18;47.39;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Rye;5.42;0.29;4.16;6.57;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Silphia;53.92;17.84;0;123.55;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Swabia;Sorghum;4.99;0.5;2.78;7.11;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Swabia;Sorghum whole crop silage;50.98;10.39;4.79;100.54;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Swabia;Soy bean;3.05;0.33;1.8;4.27;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Sugar beets;85.32;8.7;53.16;128.18;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer barley;6.12;0.48;4.01;7.95;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer mixed cereals;5.29;0.23;4.32;6.22;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer rapeseed;2.87;0.3;1.79;4.31;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Summer wheat;6.8;0.48;5.04;8.65;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Sunflower;2.87;0.31;1.56;3.98;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Sunflower whole crop silage;40.04;4.06;24.31;55.53;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Szarvasi;44.07;16.42;0;105.09;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Swabia;Triticale;7.04;0.58;4.78;9.23;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Winter barley;7.57;0.49;5.73;9.42;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Winter rapeseed;4.18;0.35;2.95;5.48;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Winter wheat;8.26;0.5;6.37;10.1;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Amaranth;3.5;0.35;2.2;5.1;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Amaranth whole crop silage;34.93;3.47;19.58;50.05;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Buckwheat;2.5;0.25;1.57;3.42;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Buckwheat whole crop silage;17.96;1.79;11.82;24.34;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Cereal whole crop silage;26.33;2.77;16.84;39.27;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Durum wheat;5.78;0.44;4.03;7.4;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Fava beans;3.38;0.35;2.02;4.64;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Field grass;8.83;1.39;3.19;15.07;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Flowering mixture, year 1;4.55;0.45;3;6.21;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Bavaria;Flowering mixture, year 2;5.85;0.59;3.26;8.22;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Upper Bavaria;Fodder peas;3.28;0.35;2.07;4.77;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Legume mixture;2.5;0.25;1.58;3.4;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Legume whole crop silage;8.42;1.07;4.54;12.6;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Lupins;2.72;0.49;1.03;4.61;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Maize grain;10.1;0.95;6.48;13.67;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Maize silage;50.78;4.56;32.52;68.58;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Oats;4.98;0.42;3.35;6.49;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Pastures, mowed pastures, alpine pastures;6.41;0.61;4.04;8.6;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Permanent grassland;7.72;0.75;4.78;10.71;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Potatoes;41.21;5.26;19.1;68.43;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Quinoa;3;0.3;1.65;4.01;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Quinoa whole crop silage;18;1.81;11.22;24.32;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Rapeseed whole crop silage;34.97;3.52;18.57;48.24;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Upper Bavaria;Rye;5.91;0.5;3.94;7.99;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Silphia;53.94;17.67;0;130.37;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Upper Bavaria;Sorghum;5;0.5;3.08;7.19;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Bavaria;Sorghum whole crop silage;51.02;10.54;11.05;91.58;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Upper Bavaria;Soy bean;3.05;0.34;1.77;4.42;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Sugar beets;81.7;8.08;52.69;111.59;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Summer barley;5.9;0.44;4.18;7.51;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Upper Bavaria;Summer mixed cereals;4.8;0.74;1.94;7.76;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
